# Freq   Response
      229.301       100.83151
      229.806       99.955298
      230.311       99.089016
      230.816       98.231612
      231.321       97.384373
      231.826       96.542946
      232.331       95.713580
      232.836       94.893527
      233.341       94.079726
      233.846       93.275853
      234.351       92.479919
      234.856       91.691889
      235.361       90.914403
      235.866       90.141993
      236.371       89.380123
      236.877       88.624745
      237.382       87.878087
      237.887       87.139491
      238.392       86.407343
      238.897       85.683058
      239.402       84.966924
      239.907       84.258249
      240.412       83.556619
      240.917       82.861590
      241.422       82.174852
      241.927       81.495378
      242.432       80.821910
      242.937       80.155570
      243.442       79.496301
      243.948       78.843955
      244.453       78.197216
      244.958       77.558039
      245.463       76.923686
      245.968       76.297849
      246.473       75.677326
      246.978       75.063281
      247.483       74.455783
      247.988       73.853375
      248.493       73.257253
      248.998       72.667298
      249.503       72.082994
      250.008       71.505888
      250.513       70.932900
      251.018       70.365483
      251.524       69.804923
      252.029       69.249098
      252.534       68.698865
      253.039       68.154909
      253.544       67.614900
      254.049       67.080917
      254.554       66.552375
      255.059       66.028674
      255.564       65.509771
      256.069       64.996348
      256.574       64.488377
      257.079       63.985155
      257.584       63.485996
      258.089       62.992453
      258.594       62.503753
      259.100       62.018628
      259.605       61.538713
      260.110       61.063602
      260.615       60.593313
      261.120       60.127231
      261.625       59.665337
      262.130       59.208566
      262.635       58.755779
      263.140       58.307009
      263.645       57.862768
      264.150       57.422800
      264.655       56.987251
      265.160       56.555446
      265.665       56.127547
      266.170       55.703434
      266.676       55.283864
      267.181       54.867966
      267.686       54.456112
      268.191       54.048254
      268.696       53.643582
      269.201       53.243200
      269.706       52.846305
      270.211       52.452933
      270.716       52.063649
      271.221       51.677742
      271.726       51.295588
      272.231       50.916375
      272.736       50.541081
      273.241       50.169014
      273.746       49.800559
      274.252       49.435194
      274.757       49.073363
      275.262       48.714884
      275.767       48.359877
      276.272       48.007558
      276.777       47.658490
      277.282       47.313089
      277.787       46.970628
      278.292       46.630918
      278.797       46.294583
      279.302       45.961273
      279.807       45.630441
      280.312       45.302764
      280.817       44.978385
      281.322       44.656704
      281.828       44.337775
      282.333       44.021453
      282.838       43.708397
      283.343       43.398118
      283.848       43.090172
      284.353       42.785342
      284.858       42.483097
      285.363       42.183279
      285.868       41.886751
      286.373       41.591853
      286.878       41.300132
      287.383       41.011111
      287.888       40.724192
      288.393       40.439832
      288.898       40.157781
      289.404       39.878850
      289.909       39.601874
      290.414       39.326896
      290.919       39.054900
      291.424       38.784904
      291.929       38.517232
      292.434       38.252237
      292.939       37.989096
      293.444       37.728824
      293.949       37.469656
      294.454       37.213764
      294.959       36.959378
      295.464       36.707782
      295.969       36.457692
      296.475       36.210225
      296.980       35.964288
      297.485       35.720811
      297.990       35.479390
      298.495       35.240265
      299.000       35.002686
      299.505       34.767319
      300.010       34.533624
      300.515       34.302151
      301.020       34.072723
      301.525       33.845052
      302.030       33.618964
      302.535       33.395199
      303.040       33.173205
      303.545       32.953133
      304.051       32.734501
      304.556       32.517794
      305.061       32.302924
      305.566       32.089969
      306.071       31.878945
      306.576       31.669182
      307.081       31.461401
      307.586       31.254963
      308.091       31.050774
      308.596       30.848081
      309.101       30.646875
      309.606       30.447200
      310.111       30.249042
      310.616       30.052741
      311.121       29.858158
      311.627       29.665149
      312.132       29.473540
      312.637       29.283442
      313.142       29.094714
      313.647       28.907951
      314.152       28.722374
      314.657       28.538349
      315.162       28.355599
      315.667       28.174733
      316.172       27.994957
      316.677       27.816468
      317.182       27.639824
      317.687       27.464286
      318.192       27.290194
      318.697       27.117548
      319.203       26.946176
      319.708       26.776074
      320.213       26.607506
      320.718       26.440278
      321.223       26.274137
      321.728       26.109495
      322.233       25.946057
      322.738       25.784041
      323.243       25.623120
      323.748       25.463466
      324.253       25.305152
      324.758       25.147808
      325.263       24.991745
      325.768       24.837075
      326.273       24.683604
      326.779       24.531114
      327.284       24.379897
      327.789       24.229853
      328.294       24.080767
      328.799       23.933204
      329.304       23.786612
      329.809       23.640917
      330.314       23.496618
      330.819       23.353233
      331.324       23.211064
      331.829       23.069953
      332.334       22.929799
      332.839       22.790799
      333.344       22.652820
      333.849       22.516007
      334.355       22.379932
      334.860       22.245162
      335.365       22.111329
      335.870       21.978371
      336.375       21.846418
      336.880       21.715540
      337.385       21.585749
      337.890       21.456696
      338.395       21.328715
      338.900       21.201694
      339.405       21.075699
      339.910       20.950447
      340.415       20.826256
      340.920       20.702904
      341.426       20.580630
      341.931       20.459076
      342.436       20.338452
      342.941       20.218664
      343.446       20.099861
      343.951       19.981908
      344.456       19.864792
      344.961       19.748452
      345.466       19.633122
      345.971       19.518520
      346.476       19.404822
      346.981       19.291838
      347.486       19.179710
      347.991       19.068442
      348.496       18.957948
      349.001       18.848155
      349.507       18.739445
      350.012       18.631215
      350.517       18.523942
      351.022       18.417275
      351.527       18.311612
      352.032       18.206460
      352.537       18.102264
      353.042       17.998600
      353.547       17.895875
      354.052       17.793811
      354.557       17.692320
      355.062       17.591689
      355.567       17.491782
      356.072       17.392644
      356.578       17.294036
      357.083       17.196180
      357.588       17.099100
      358.093       17.002661
      358.598       16.906858
      359.103       16.811762
      359.608       16.717389
      360.113       16.623540
      360.618       16.530404
      361.123       16.437949
      361.628       16.346099
      362.133       16.254920
      362.638       16.164315
      363.143       16.074437
      363.648       15.985054
      364.154       15.896412
      364.659       15.808389
      365.164       15.720802
      365.669       15.634030
      366.174       15.547706
      366.679       15.462051
      367.184       15.376989
      367.689       15.292475
      368.194       15.208507
      368.699       15.125205
      369.204       15.042350
      369.709       14.960217
      370.214       14.878548
      370.719       14.797297
      371.224       14.716829
      371.730       14.636811
      372.235       14.557365
      372.740       14.478327
      373.245       14.399984
      373.750       14.322118
      374.255       14.244804
      374.760       14.167922
      375.265       14.091676
      375.770       14.015857
      376.275       13.940494
      376.780       13.865774
      377.285       13.791484
      377.790       13.717682
      378.295       13.644339
      378.800       13.571568
      379.306       13.499229
      379.811       13.427397
